video_id,frame_index,timestamp_ms,shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,lift_phase,low_visibility
19bad,111,1856.6940789473683,0.9216,0.2967,0.9025,0.5274,4.7,40.3,0.25,0,clean_catch,0
19bad,112,1873.421052631579,0.9226,0.2975,0.9044,0.5277,4.5,40.5,0.248,0,clean_catch,0
19bad,113,1890.1480263157896,0.9241,0.2984,0.9059,0.5277,4.5,40.5,0.248,0,clean_catch,0
19bad,114,1906.875,0.9257,0.299,0.907,0.5275,4.7,40.3,0.247,1,clean_catch,0
19bad,115,1923.6019736842106,0.9275,0.2992,0.9081,0.527,4.9,40.1,0.247,1,clean_catch,0
19bad,116,1940.328947368421,0.9291,0.2991,0.9089,0.5266,5.1,39.9,0.248,1,clean_catch,0
19bad,117,1957.0559210526317,0.9303,0.2985,0.9094,0.5262,5.3,39.7,0.249,1,clean_catch,0
19bad,118,1973.782894736842,0.9309,0.2979,0.9096,0.5262,5.3,39.7,0.25,1,clean_catch,0
19bad,119,1990.5098684210527,0.9314,0.2979,0.9094,0.5266,5.5,39.5,0.251,1,clean_catch,0
19bad,120,2007.2368421052631,0.9315,0.2983,0.909,0.5272,5.6,39.4,0.251,1,clean_catch,0
19bad,121,2023.9638157894738,0.9324,0.2988,0.9088,0.5277,5.9,39.1,0.252,1,clean_catch,0
19bad,122,2040.6907894736842,0.933,0.2992,0.9088,0.5284,6.0,39.0,0.253,1,clean_catch,0
19bad,123,2057.4177631578946,0.9336,0.2997,0.9088,0.5288,6.2,38.8,0.254,1,clean_catch,0
19bad,124,2074.1447368421054,0.9334,0.2991,0.9082,0.5291,6.2,38.8,0.255,1,clean_catch,0
19bad,125,2090.871710526316,0.9324,0.2974,0.9078,0.5292,6.0,39.0,0.256,1,clean_catch,0
19bad,126,2107.5986842105262,0.9308,0.2951,0.9077,0.5292,5.7,39.3,0.257,1,clean_catch,0
19bad,127,2124.3256578947367,0.9297,0.2929,0.9076,0.5289,5.4,39.6,0.258,1,clean_catch,0
19bad,128,2141.0526315789475,0.9292,0.2914,0.9084,0.5289,5.0,40.0,0.258,0,clean_catch,0
19bad,129,2157.779605263158,0.9293,0.2912,0.91,0.5286,4.7,40.3,0.257,0,clean_catch,0
19bad,130,2174.5065789473683,0.9293,0.2914,0.9114,0.5282,4.3,40.7,0.255,0,clean_catch,0
19bad,131,2191.2335526315787,0.9297,0.2916,0.9129,0.5278,4.1,40.9,0.253,0,clean_catch,0
19bad,132,2207.9605263157896,0.9299,0.2913,0.9136,0.5269,4.0,41.0,0.252,0,clean_catch,0
19bad,133,2224.6875,0.93,0.291,0.9133,0.5258,4.1,40.9,0.251,0,clean_catch,0
19bad,134,2241.4144736842104,0.9301,0.2907,0.9132,0.525,4.1,40.9,0.251,0,clean_catch,0
19bad,135,2258.1414473684213,0.93,0.2904,0.912,0.5242,4.4,40.6,0.252,0,clean_catch,0
19bad,136,2274.8684210526317,0.9297,0.2902,0.9106,0.5237,4.7,40.3,0.253,0,clean_catch,0
19bad,137,2291.595394736842,0.9295,0.2903,0.9089,0.5233,5.1,39.9,0.254,0,clean_catch,0
19bad,138,2308.3223684210525,0.9291,0.29,0.9072,0.5228,5.4,39.6,0.255,0,clean_catch,0
19bad,139,2325.0493421052633,0.9287,0.2898,0.906,0.5222,5.6,39.4,0.255,0,clean_catch,0
