video_id,view,label,n_frames_total,n_lift_phase_frames,lift_phase_duration_ms,used_full_video_fallback,mean_spine_angle,max_spine_angle,min_spine_angle,std_spine_angle,range_spine_angle,max_abs_spine_angle,mean_lean_deviation,max_lean_deviation,mean_postural_deviation,max_postural_deviation,shoulder_asymmetry_rate,low_visibility_rate
49good,front,0,382,89,9659.0,False,1.4830818619584394,5.222857142857265,0.2571428571430374,1.1304959117313949,4.965714285714228,5.222857142857265,43.51691813804172,44.74285714285712,0.19902664526484737,0.2507714285714285,0.0,0.0
50good,front,0,414,140,11451.0,False,1.8718367346936882,4.665714285714103,0.1228571428569011,1.3789666513381134,4.542857142857202,4.665714285714103,43.1281632653061,44.87714285714283,0.2181485714285713,0.2846285714285712,0.0,0.0
51good,front,0,356,63,8200.0,False,1.2414965986394564,3.251428571428562,0.1914285714285597,0.7868069247522824,3.0600000000000023,3.251428571428562,43.75850340136053,44.808571428571405,0.16754467120181396,0.2168571428571427,0.0,0.0
52good,front,0,273,68,7861.0,False,0.9748319327731084,2.594285714285718,0.1714285714285779,0.6770233279752698,2.42285714285714,2.594285714285718,44.025168067226865,44.82857142857141,0.16486134453781498,0.1956571428571427,0.0,0.0
53bad,front,1,228,34,3855.0,False,1.2533613445378147,3.039999999999992,0.248571428571438,0.7854750428642776,2.791428571428554,3.039999999999992,43.746638655462164,44.75142857142856,0.14310672268907554,0.1997714285714285,0.0,0.0
54bad,front,1,201,29,3003.0,False,1.2057635467980272,3.6999999999999886,0.0742857142857076,0.8902990073899695,3.625714285714281,3.6999999999999886,43.79423645320195,44.92571428571426,0.1361576354679802,0.1905142857142858,0.0,0.0
55good,front,0,222,40,1953.0,False,1.5017500000000006,4.171428571428578,0.1999999999999886,0.9286887962362131,3.9714285714285893,4.171428571428578,43.55617857142855,44.799999999999976,0.11576535714285704,0.193742857142857,0.0,0.0
56good,front,0,240,71,6909.0,False,1.760442655935612,7.565714285714279,0.2428571428571331,1.6583817077862608,7.322857142857146,7.565714285714279,43.239557344064366,44.75714285714284,0.1266106639839033,0.1583142857142856,0.04225352112676056,0.0
57bad,front,1,131,18,851.0,False,1.880793650793458,4.265714285714125,0.0485714285712219,1.1310782946271964,4.217142857142903,4.265714285714125,43.11920634920634,44.95142857142855,0.1567285714285713,0.182142857142857,0.0,0.0
59bad,front,1,305,20,951.0,False,1.2005714285714262,3.031428571428563,0.1399999999999863,0.9570311235422646,2.891428571428577,3.031428571428563,43.79942857142855,44.85999999999998,0.1438085714285713,0.1644571428571428,0.0,0.0
5good,front,0,308,71,7058.0,False,0.85788732394366,2.842857142857156,0.1228571428571285,0.6009365314403267,2.7200000000000273,2.842857142857156,44.14211267605631,44.87714285714284,0.21358511066398375,0.2894571428571427,0.0,0.0
60good,front,0,184,41,2003.0,False,2.342543554006965,5.737142857142857,0.3685714285714425,1.5362112987169525,5.368571428571414,5.737142857142857,42.65745644599301,44.63142857142855,0.12038432055749118,0.2163999999999999,0.0,0.0
61good,front,0,242,69,10815.0,False,3.54726708074534,17.87428571428569,0.1342857142857099,3.9847874194649067,17.73999999999998,17.87428571428569,41.45273291925464,44.86571428571426,0.12129482401656302,0.1984285714285713,0.014492753623188406,0.0
62bad,front,1,156,19,902.0,False,1.4221052631580584,2.1542857142858907,0.6742857142858725,0.49983384278204795,1.4800000000000182,2.1542857142858907,43.57789473684209,44.32571428571426,0.14929022556390967,0.1762571428571427,0.0,0.0
63good,front,0,171,80,3956.0,False,1.4746428571428567,3.78857142857143,0.377142857142843,0.897520264197302,3.411428571428587,3.78857142857143,43.52535714285712,44.62285714285712,0.14981271428571416,0.1654857142857142,0.0,0.0
64good,front,0,245,70,5858.0,False,1.6830204081632656,3.73142857142858,0.4085714285714346,0.8207543706452517,3.3228571428571456,3.73142857142858,43.316979591836706,44.59142857142855,0.14546530612244885,0.1949238095238095,0.0,0.0
6good,front,0,259,45,2197.0,False,0.7092698412698408,1.8628571428571377,0.1114285714285756,0.3817079149763943,1.751428571428562,1.8628571428571377,44.29073015873014,44.8885714285714,0.3071447619047618,0.3537428571428569,0.0,0.0
7good,front,0,351,69,6806.0,False,2.2439751552795006,6.702857142857141,0.4057142857142821,1.6553476379585377,6.297142857142859,6.702857142857141,42.75602484472048,44.59428571428569,0.17209151138716347,0.2050571428571427,0.0,0.0
8good,front,0,325,87,6800.0,False,1.3548932676520657,3.2628571428573423,0.1057142857144413,0.7519309072847388,3.157142857142901,3.2628571428573423,43.64510673234809,44.89428571428569,0.1879026272577996,0.2261714285714284,0.0,0.0
9bad,front,1,213,37,1800.0,False,3.096138996138993,5.997142857142848,0.4914285714285711,1.720236129999365,5.5057142857142765,5.997142857142848,41.90386100386098,44.50857142857141,0.18022239382239366,0.2252857142857142,0.0,0.0
10good,angle45,0,373,79,8098.0,False,3.8185352622061455,14.645714285714291,0.2314285714285802,4.018395107310452,14.414285714285711,14.645714285714291,41.18146473779384,44.768571428571406,0.19631790235081362,0.2286285714285713,0.0,0.0
11good,angle45,0,359,64,7099.0,False,6.046882440476189,18.551428571428573,0.2285714285714277,5.58874485967124,18.322857142857146,18.551428571428573,38.95311755952379,44.771428571428544,0.20198147321428558,0.2299714285714285,0.0,0.0
12good,angle45,0,323,57,7049.0,False,6.446365914786966,16.599999999999994,0.1971428571428646,5.096363091545255,16.40285714285713,16.599999999999994,38.55363408521301,44.80285714285712,0.2000005012531327,0.2317714285714284,0.0,0.0
13bad,angle45,1,205,51,6449.0,False,-16.28843137254901,14.257142857142838,-114.68285714285707,38.71225908691771,128.9399999999999,114.68285714285707,65.33324929971987,164.35999999999996,0.15229654528478048,0.2068285714285713,0.0196078431372549,0.0784313725490196
14good,angle45,0,375,70,7798.0,False,3.3823265306122443,10.97999999999999,0.3914285714285768,3.0495955747111902,10.588571428571413,10.97999999999999,41.61767346938774,44.60857142857141,0.18005755102040805,0.2055999999999999,0.0,0.0
16good,angle45,0,284,63,7449.0,False,4.358253968253967,21.15428571428572,-0.5942857142857179,4.907105123275688,21.748571428571438,21.15428571428572,40.59934240362811,45.59428571428569,0.18730725623582756,0.225542857142857,0.07936507936507936,0.0
